User Name,Problem Count,General Ranking,Reputation,Contest Rating,Contest Attended,Global Ranking
Nikhila_D,133,984563,0,1515.6272987718896,16,286949
Madhesh-kanna-06,285,405251,0,1316.05,16,706677
Lavanya-15,124,1050377,0,1527.445,6,265076
Mu_LEE,580,110874,0,1680.8429052611023,61,104049
nirmalraaju_mb,156,840798,0,1297.3892292135379,4,714391
Pavith_ra-05,65,1739453,0,1408.646,9,614529
Mugesh81,74,1589762,0,,,
prasanth09102005,204,627582,0,1419.9401657283593,31,548366
pradeepamcce,89,1385647,0,1565.3921678488618,4,207245
sanjithsece,254,475067,0,1494.1420666694978,51,334357
Sanjay_Murugesan,116,1114916,0,1521.812,2,275324
Samuvel_gipson,91,1362518,0,1362.858,3,672539
SaumyaM_2005,289,397449,0,1533.543,8,254687
prishasanthosh,263,453300,0,1663.527382295229,34,114940
shubha_06,53,1993702,0,1379.165,9,654697
srivignesh_cce,15,3925323,0,,,
RSUBHIKSHA,98,1286781,0,1477.301,3,376781
7uAbe382RM,10,4681990,0,,,
shobiha,333,321150,0,1582.414548373119,25,186139
Sarathi_Udhai,116,1114375,0,1404.9003983860125,6,620260
sriramkv1409,234,528985,0,1453.9885387884958,10,445386
srisridhar,162,808172,0,,,
thamaraiselvansubbiah,11,4487658,0,,,
suganprabhu,25,3085138,0,,,
Adriannaa_Anand,54,1969602,0,1412.224,1,593896
varunsanthanam14,28,2906095,0,,,
Vishwa063,45,2217174,0,1441.318,1,486565
aghilandj,166,787944,0,1645.194,5,127748
yuvarajcce,65,1739087,0,1414.5898818969727,1,568222
angupranisa,269,439507,0,1392.9108946155354,5,637013
user6955qQ,190,680926,0,,,
yaswanthvisa,142,924637,0,1605.028,2,162111
bharanidharansivakumar64,47,2161222,0,,,
aravindh17,172,764150,0,1404.4597901391896,10,620876
ashmika_29,90,1385627,0,1328.79348094274,5,700545
ashwinth_22_,136,964075,0,1417.18482630037,2,555589
birunthadevi,126,1035173,0,,,
rsd_004,117,1106055,0,,,
user9432c,32,2702178,0,,,
darsan1425,55,1945859,0,1567.211,1,204864
harish_875,6,5000001,0,,,
Dhivithkumar,60,2018503,0,,,
Jackbruno,2,5000001,0,,,
doracsbs015,51,2044953,0,1454.247,2,444631
Dharshini_2005,188,688767,0,1432.2836563678247,13,515351
jerlinprincyf,96,1362547,0,,,
Janarthani_d,88,1397569,0,1404.884,2,620280
user4954ud,298,380703,1,1401.947,3,624592
jithenderj,0,5000001,0,,,
krishaus_16,139,944583,0,,,
Jithesh_Mouriya,21,3357343,0,,,
Haarishcsbs016,93,1339951,0,,,
kiruthikasivakumar,51,2044690,0,1627.403,3,141852
KISHOR_S_06,127,1027681,0,1463.8240211888365,2,414824
Kishore_csbs,208,612938,0,1509.184043628243,15,299783
KRISHNA_3406,292,391647,6,1464.3282129033264,12,413409
Lakshitha_SM,124,1050465,0,1631.5977571972762,5,138434
mohanprasath2006,87,1409564,0,1463.6585793441172,3,415323
user8749DW,123,1058119,17,1373.9765311978808,7,660833
Mithraja,21,3357306,0,,,
manojsinghd,71,1636212,0,1458.7154388427734,1,430498
mithil_123,19,3524973,0,,,
meena032,109,1175871,0,1475.975816988819,11,380369
nirmal77,49,2105354,0,1428.366,1,527017
nithyanagamuthu,101,1266025,0,1537.144660949707,1,248662
premkumar_karunanithi,68,1687417,0,,,
pragadeswaran,46,2187939,0,,,
Prathiksha12,90,1373214,0,1540.0464710816182,10,244093
muthaiah_panchanathan,329,327356,1,1622.4138834362832,17,146100
Ragghhul,21,3359878,0,,,
HhUWSnR3vy,4,5000001,0,,,
Sanjayshanmugasundaram,19,3549649,0,1412.9390716552734,1,584999
Sudhan_005,170,768441,0,1512.3915455642448,12,293227
rathina_7,114,1131737,0,1564.0808464017937,15,208992
Sivakumar09072004,160,818743,0,1383.39871200669,4,649496
raguram832,135,970856,1,1552.62,4,224961
Sathyan_Deepak,5,5000001,0,,,
sowmyatiwari,35,2568634,0,1412.822,1,586879
Sivavashini_S,43,2286208,0,1588.2364407852335,5,179448
sri_sakthi_b,24,3139613,0,,,
geethanisri,121,1073720,0,1421.591366589947,5,544496
Suruthiksha,99,1277028,0,1441.452,1,486102
vaishnavpv29,109,1175656,0,1521.180483366761,3,276507
Sundar_1004,249,490524,0,1500.894468388455,22,317630
SanjaySaravanan123,200,643896,0,1810.4550720761004,15,51194
Vengadesh_7,7,5000001,0,,,
Abhishek_Kunwar23,302,373382,0,1378.09,2,655984
user9918vi,33,2653875,0,1458.80126953125,1,430230
aadhiaadhi5435,200,643487,0,1403.1691711593312,3,622822
Abirami6,198,650708,0,1303.928,6,712035
Vethanarrthana,110,1166557,0,1412.224,1,593885
user3161EP,635,88805,78,1512.6558930319934,31,292698
adityavn03,83,1460739,0,,,
Agadeeshwaran,115,1122579,0,,,
yunus_mm,166,787908,0,1463.5881683665032,18,415529
Ajay_kannan35,506,150569,0,1541.3999003411823,66,242017
nsmhjtj,142,924935,0,1430.417436150802,2,521078
